DWOK83
CUT[Instrumentalna - Mazur]
REG[Przemyskie]
TRD[DWOK83 Przemyskie, Suplement do tomu 35 s. 280-281 Sanoczany]
FKT[]
SIG[83148300000]
KEY[831483  16  C 3/8]
MEL[1_+3+2+17  653_3_  1_4_4_  1_3_3_
    1_+3+2+17  653_3_  1_42-6-7  1_1__
    5_+3+2+15  57+2_+2_  57+2757  +1_+1__
    5_+3+2+15  57+2_+2_  57+2_+17  5+1+3_+2+1
    +3_+3_(5+1+3)  +4_+4_7_  +2_+2_5_  +3_+3_5+1
    +1+2+3_+4_  +5__+5_  +4#+6+5_+4_  +5__+3+4
    +3_+3_+3_  +4_+4_7_  +2+2+5_5_  +3_+3_5+1
    +1+2+3_+4_  +5__+5_  +4#+6+5_+4_  +5__+5_
    +5+4+2+4+37  +1__76  556_7_  +1+3+6_+5_ //]
BEM[Wariant t. 36: +1__+5_]
